Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,avg_aqi
04/18/2018,AQS,370030005,1,0.065,ppm,84,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2152
04/19/2018,AQS,370030005,1,0.048,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2196
04/20/2018,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2250
04/21/2018,AQS,370030005,1,0.064,ppm,80,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2330
04/22/2018,AQS,370030005,1,0.054,ppm,50,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2380
04/23/2018,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2423
04/24/2018,AQS,370030005,1,0.038,ppm,35,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2458
04/25/2018,AQS,370030005,1,0.042,ppm,39,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2497
04/26/2018,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2540
04/27/2018,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2586
